"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"GASV_1","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","baumanii"
"GASV_2","Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","odontolyticus"
"GASV_3","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","cereus"
"GASV_4","Bacteria","Bacteroidota","Bacteroidia","Bactoroidales","Bacteroidaceae","Bacteroides","vulgatus"
"GASV_5","Bacteria","Bacteroidota","Bacteroidia","Bactoroidales","Bacteroidaceae","Bacteroides","vulgatus"
"GASV_6","Bacteria","Bacteroidota","Bacteroidia","Bactoroidales","Bacteroidaceae","Bacteroides","vulgatus"
"GASV_7","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_1","beijerinckii"
"GASV_8","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_1","beijerinckii"
"GASV_9","Bacteria","Deinococcota","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","radiodurans"
"GASV_10","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","faecalis"
"GASV_11","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia/Shigella","Escherichia_coli"
"GASV_12","Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","pylori"
"GASV_13","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","gasseri"
"GASV_14","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","monocytogenes"
"GASV_15","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae","Neisseria","meningitidis"
"GASV_16","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","aeruginosa"
"GASV_17","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium","acnes"
"GASV_18","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacter","sphaeroides"
"GASV_19","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus_Aureus"
"GASV_20","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus_Epidermidis"
"GASV_21","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","agalactiae"
"GASV_22","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","mutans"
"GASV_23","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","pneumonia"
