"","Kingdom","Phylum","Class","Order","Family","Genus","Species","NCBI"
"GASV_1","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","baumanii",470
"GASV_2","Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","odontolyticus",1660
"GASV_3","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","cereus",1396
"GASV_4","Bacteria","Bacteroidota","Bacteroidia","Bactoroidales","Bacteroidaceae","Bacteroides","vulgatus",821
"GASV_5","Bacteria","Bacteroidota","Bacteroidia","Bactoroidales","Bacteroidaceae","Bacteroides","vulgatus",821
"GASV_6","Bacteria","Bacteroidota","Bacteroidia","Bactoroidales","Bacteroidaceae","Bacteroides","vulgatus",821
"GASV_7","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_1","beijerinckii",1485
"GASV_8","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_1","beijerinckii",1485
"GASV_9","Bacteria","Deinococcota","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","radiodurans",1299
"GASV_10","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","faecalis",1351
"GASV_11","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia/Shigella","Escherichia_coli",562
"GASV_12","Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","pylori",210
"GASV_13","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","gasseri",1596
"GASV_14","Bacteria","Firmicutes","Bacilli","Lactobacillales","Listeriaceae","Listeria","monocytogenes",1639
"GASV_15","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae","Neisseria","meningitidis",487
"GASV_16","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","aeruginosa",287
"GASV_17","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium","acnes",1747
"GASV_18","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacter","sphaeroides",1063
"GASV_19","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus_Aureus",1280
"GASV_20","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus_Epidermidis",1282
"GASV_21","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","agalactiae",1311
"GASV_22","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","mutans",1309
"GASV_23","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","pneumonia",1313
