"","Propionibacteriales","Lactobacillales","Micrococcales","Bacteroidales","Actinomycetales","Corynebacteriales","Betaproteobacteriales","Fusobacteriales","Coriobacteriales","Xanthomonadales","Clostridiales","Bacillales","Pseudomonadales","Selenomonadales","Cardiobacteriales","Flavobacteriales","Erysipelotrichales","Mycoplasmatales","Thermoanaerobacterales","Saccharimonadales","Pasteurellales","Rhizobiales","Oceanospirillales","Spirochaetales","Cytophagales","Pseudonocardiales","Microtrichales","Rhodobacterales","Chloroplast","Aphelidea_or"
"29-B1",0.281364636830521,0.289251650770359,0.358950843727073,0,0.0396184886280264,0,0.0141232575201761,0,0,0,0,0.0146735143066764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00201760821716801,0,0
"30-B1",0.286228983186549,0.300240192153723,0,0.0110088070456365,0.0596477181745396,0,0,0.0536429143314652,0,0,0.14191353082466,0.077662129703763,0.00280224179343475,0.0106084867894315,0,0,0.00420336269015212,0,0.044835868694956,0.00720576461168935,0,0,0,0,0,0,0,0,0,0
"31-B2",0.46501044464339,0.0151447329155476,0.00186511489107729,0.0388689943300507,0.180170098478066,0.0475231274246494,0.00835571471202626,0.0186511489107729,0,0,0.0955684870188004,0,0.000969859743360191,0.0419277827514175,0.0317069531483139,0.0294688152790212,0,0,0,0.00947478364667264,0.00313339301700985,0,0,0.00701283199045061,0,0,0,0,0,0
"32-B3",0.509207065013153,0.0727796567706376,0.0378303895778529,0.0630088938995365,0.0536139296004009,0,0.0129024176374796,0.00701490667668796,0.0696480020042591,0,0.141550795440311,0.00463484905424026,0,0.00638857572341225,0,0,0.0132782162094451,0,0,0.00764123762996367,0,0,0,0,0,0,0,0,0,0
"33-B1",0.876848456169407,0,0.00461374659884065,0,0,0.0136046374068378,0.00224772270199929,0,0,0,0.0270909736188335,0,0.0727552348278718,0,0,0.00224772270199929,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34-B1",0.976012793176972,0,0,0,0,0,0.0127931769722814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35-B2",0.459313413858868,0.0793600339054885,0.0938758211485484,0.00572155117609663,0.0364484000847637,0.00974782792964611,0.0902733630006357,0.0362364907819453,0,0,0.0637847001483365,0.0321042593769866,0.0190718372536554,0.00731087094723458,0,0.000635727908455181,0,0.0327399872854418,0,0.00286077558804832,0.0187539732994278,0,0.00190718372536554,0,0,0,0,0,0,0
"36-B3",0.275536825205699,0.254063816977724,0.124423038330323,0.0305037126229179,0.101143889223359,0.00642183423640377,0.0565924142083082,0.0429460164559502,0,0,0.057796508127634,0.0186634557495485,0,0.0108368452739314,0,0,0,0,0,0.00742524583584186,0.013646397752358,0,0,0,0,0,0,0,0,0
"37-B1",0.046677959721438,0.132316958403915,0.01562205910032,0.497835497835498,0.0877093920572181,0,0.028420854507811,0.0218332392245436,0.0617353660831922,0,0.0383963862224732,0.015433841520798,0,0.0479954827780915,0,0,0,0,0,0,0.00395256916996047,0,0,0.0020703933747412,0,0,0,0,0,0
"38-B2",0.0180221811460259,0.325785582255083,0.0804066543438078,0.177911275415896,0.117375231053604,0,0.00970425138632163,0.0219500924214418,0.0325785582255083,0,0.145101663585952,0.0397412199630314,0,0.011090573012939,0,0.000462107208872458,0.0101663585951941,0,0,0.00970425138632163,0,0,0,0,0,0,0,0,0,0
"39-B3",0.0967672645258297,0.203415315218559,0.0299645580496187,0.429814198260122,0.042852540006444,0,0.00257759639136505,0.0314681559445817,0.00676619052733326,0,0.0458597357963699,0.00687359037697347,0,0.0644399097841263,0,0.000859198797121684,0.00451079368488884,0.0144989797014284,0,0.00644399097841263,0.00955858661797874,0.00171839759424337,0,0.00161099774460316,0,0,0,0,0,0
"40-B1",0.215483234714004,0.0571992110453649,0.207100591715976,0,0,0.00542406311637081,0.330374753451677,0,0,0,0,0,0.121301775147929,0,0,0,0,0,0,0,0,0.0468441814595661,0,0,0,0,0.0162721893491124,0,0,0
"41-B2",0.0275675675675676,0.343243243243243,0.0324324324324324,0.05,0.0867567567567568,0.0616216216216216,0.0467567567567568,0.0302702702702703,0,0,0.0178378378378378,0.0543243243243243,0,0.184864864864865,0.0291891891891892,0,0,0,0,0.0124324324324324,0.0227027027027027,0,0,0,0,0,0,0,0,0
"42-B3",0.467806603773585,0.0936320754716981,0,0.05,0.038561320754717,0.150707547169811,0.00790094339622642,0,0.0283018867924528,0,0.0673349056603774,0.00825471698113208,0,0.0804245283018868,0,0,0,0,0,0.00707547169811321,0,0,0,0,0,0,0,0,0,0
"44-B2",0.926006631927996,0.0475603979156798,0,0,0,0,0,0,0,0,0,0.00511605873993368,0.00236854571293226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45-B3",0.349338648305853,0.395542670773691,0.0309838738901975,0,0,0.0880594310563508,0.0125022649030621,0,0,0,0.00126834571480341,0.0681282841094401,0.0313462583801413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46-B1",0.601236476043277,0.0989180834621329,0.0525502318392581,0,0.106646058732612,0,0.0386398763523957,0.0401854714064915,0,0,0,0.0618238021638331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49-B1",0.0183691756272401,0.432347670250896,0.122087813620072,0.044578853046595,0.237903225806452,0,0.0228494623655914,0.017921146953405,0.0378584229390681,0,0.0259856630824373,0.019489247311828,0,0,0,0,0.014336917562724,0,0,0,0.00627240143369176,0,0,0,0,0,0,0,0,0
"50-B2",0.457409782011357,0.121817182634182,0.0500091591866642,0.0959882762410698,0.152592049825975,0,0.00439640959882762,0.00842645173108628,0.0313244183916468,0,0.0216156805275692,0.0313244183916468,0,0,0,0,0.011357391463638,0,0,0,0,0,0.0058618794651035,0,0,0,0,0.00531232826525005,0.00256457226598278,0
"52-B1",0.26614481409002,0.128941074146554,0.035442487497282,0.0334855403348554,0.433572515764297,0,0.0369645575125027,0.0113068058273538,0,0,0.0145683844313981,0.0267449445531637,0,0.00173950858882366,0,0.0091324200913242,0,0,0,0,0,0,0,0,0,0,0,0.00195694716242661,0,0
"53-B2",0.350843558282209,0.270322085889571,0.0655674846625767,0.00843558282208589,0.0176380368098159,0.0040260736196319,0.00479294478527607,0,0,0.145897239263804,0,0.0448619631901841,0.0373849693251534,0.0128450920245399,0,0,0,0,0,0,0.0254984662576687,0,0.00287576687116564,0,0,0.0067101226993865,0,0,0,0
"54-B3",0.931540342298289,0,0.0115729421352893,0,0,0,0.0443357783211084,0,0,0,0,0.00635696821515892,0,0,0,0,0,0,0,0,0,0,0.00277098614506927,0,0,0,0,0.00162999185004075,0,0
