"","Actinobacteria","Bacilli","Bacteroidia","Gammaproteobacteria","Fusobacteriia","Coriobacteriia","Clostridia","Negativicutes","Erysipelotrichia","Mollicutes","Saccharimonadia","Alphaproteobacteria","Spirochaetia","Acidimicrobiia","Oxyphotobacteria","Aphelidea"
"29-B1",0.67993396918562,0.303925165077036,0,0.0141232575201761,0,0,0,0,0,0,0,0.00201760821716801,0,0,0,0
"30-B1",0.345876701361089,0.377902321857486,0.0110088070456365,0.00280224179343475,0.0536429143314652,0,0.186749399519616,0.0106084867894315,0.00420336269015212,0,0.00720576461168935,0,0,0,0,0
"31-B2",0.694568785437183,0.0151447329155476,0.0683378096090719,0.0441659206207102,0.0186511489107729,0,0.0955684870188004,0.0419277827514175,0,0,0.00947478364667264,0,0.00701283199045061,0,0,0
"32-B3",0.600651384191407,0.0774145058248779,0.0630088938995365,0.0129024176374796,0.00701490667668796,0.0696480020042591,0.141550795440311,0.00638857572341225,0.0132782162094451,0,0.00764123762996367,0,0,0,0,0
"33-B1",0.895066840175086,0,0.00224772270199929,0.0750029575298711,0,0,0.0270909736188335,0,0,0,0,0,0,0,0,0
"34-B1",0.976012793176972,0,0,0.0127931769722814,0,0,0,0,0,0,0,0,0,0,0,0
"35-B2",0.599385463021827,0.111464293282475,0.00635727908455181,0.130006357279085,0.0362364907819453,0,0.0637847001483365,0.00731087094723458,0,0.0327399872854418,0.00286077558804832,0,0,0,0,0
"36-B3",0.507525586995786,0.272727272727273,0.0305037126229179,0.0702388119606663,0.0429460164559502,0,0.057796508127634,0.0108368452739314,0,0,0.00742524583584186,0,0,0,0,0
"37-B1",0.150009410878976,0.147750799924713,0.497835497835498,0.0323734236777715,0.0218332392245436,0.0617353660831922,0.0383963862224732,0.0479954827780915,0,0,0,0,0.0020703933747412,0,0,0
"38-B2",0.215804066543438,0.365526802218115,0.178373382624769,0.00970425138632163,0.0219500924214418,0.0325785582255083,0.145101663585952,0.011090573012939,0.0101663585951941,0,0.00970425138632163,0,0,0,0,0
"39-B3",0.169584362581892,0.210288905595532,0.430673397057244,0.0121361830093438,0.0314681559445817,0.00676619052733326,0.0458597357963699,0.0644399097841263,0.00451079368488884,0.0144989797014284,0.00644399097841263,0.00171839759424337,0.00161099774460316,0,0,0
"40-B1",0.428007889546351,0.0571992110453649,0,0.451676528599606,0,0,0,0,0,0,0,0.0468441814595661,0,0.0162721893491124,0,0
"41-B2",0.208378378378378,0.397567567567568,0.05,0.0986486486486487,0.0302702702702703,0,0.0178378378378378,0.184864864864865,0,0,0.0124324324324324,0,0,0,0,0
"42-B3",0.657075471698113,0.10188679245283,0.05,0.00790094339622642,0,0.0283018867924528,0.0673349056603774,0.0804245283018868,0,0,0.00707547169811321,0,0,0,0,0
"44-B2",0.926006631927996,0.0526764566556135,0,0.00236854571293226,0,0,0,0,0,0,0,0,0,0,0,0
"45-B3",0.468381953252401,0.463670954883131,0,0.0438485232832035,0,0,0.00126834571480341,0,0,0,0,0,0,0,0,0
"46-B1",0.760432766615147,0.160741885625966,0,0.0386398763523957,0.0401854714064915,0,0,0,0,0,0,0,0,0,0,0
"49-B1",0.378360215053763,0.451836917562724,0.044578853046595,0.0291218637992832,0.017921146953405,0.0378584229390681,0.0259856630824373,0,0.014336917562724,0,0,0,0,0,0,0
"50-B2",0.660010991023997,0.153141601025829,0.0959882762410698,0.0102582890639311,0.00842645173108628,0.0313244183916468,0.0216156805275692,0,0.011357391463638,0,0,0.00531232826525005,0,0,0.00256457226598278,0
"52-B1",0.735159817351598,0.155686018699717,0.0426179604261796,0.0369645575125027,0.0113068058273538,0,0.0145683844313981,0.00173950858882366,0,0,0,0.00195694716242661,0,0,0,0
"53-B2",0.44478527607362,0.315184049079755,0.00843558282208589,0.216449386503067,0,0,0,0.0128450920245399,0,0,0,0,0,0,0,0
"54-B3",0.943113284433578,0.00635696821515892,0,0.0471067644661777,0,0,0,0,0,0,0,0.00162999185004075,0,0,0,0
